Id,Name,Branch length,bootstrap
144,Cryptoc_ne 60.24,0.0492,60.24
145,,0.02218,57.71
146,,0.016442,0
147,Drosoph_me 23.82,0.0799,23.82
148,Caenorh_el 56.75,0.1012,56.75
149,,0.011569,100
150,Girardi_ti 41.43,0.0613,41.43
151,,0.006045,0
152,Branchi_fl 81.41,0.076,81.41
153,Homo_sa 86.11,0.0284,86.11
154,Latimer_ch 100.00,0.0068,100
155,,0.00288,100
156,Squalus_ac 100.00,0.0027,100
157,,0.046803,68.98
158,,0.000382,100
159,Ciona_in 72.85,0.0242,72.85
160,,0.007637,100
161,,0.098791,51.48
162,,0.036475,7.87
163,Guillar_th 19.35,0.0197,19.35
164,,0.023984,0
165,Gelidiu_ca 100.00,0,100
166,Onikusa_pr 100.00,0,100
167,,0.009973,0
168,Gracila_ve 10.02,0.0123,10.02
169,,0.069266,46.67
170,,0.025279,23.6
171,Giardia_in 98.62,0.0586,98.62
172,Giardia_ar 71.49,0.0684,71.49
173,,0.416667,86.92
174,,0.03264,86.56
175,Trypano_cr 100.00,0.0048,100
176,Trypano_br 100.00,0.0044,100
177,,0.141744,34.82
178,Euglena_gr 63.01,0.1412,63.01
179,,0.085485,45.1
180,,0.03734,100
181,,1.29415,56.04
182,,,
