Threshold	NbPartitions	LogL	DF	AIC	AICc	BIC
0.261706	54	-13994.1	239	28466.2	28865.9	29486
0.276922	55	-13993.7	240	28467.4	28871.9	29491.5
0.279888	56	-13993.7	241	28469.4	28878.7	29497.8
0.29054	57	-13993.7	242	28471.3	28885.5	29504
0.31389	58	-13993.7	243	28473.3	28892.3	29510.3
0.31628	59	-13993.6	244	28475.1	28899.1	29516.3
0.317628	60	-13993.4	245	28476.9	28905.8	29522.3
0.343029	61	-13960.2	246	28412.4	28846.4	29462.1
0.34303	62	-13959.9	247	28413.8	28852.9	29467.8
0.35985	63	-13959.9	248	28415.7	28860	29474
0.37216	67	-13954.1	252	28412.2	28877.6	29487.5
0.374746	68	-13940.7	253	28387.4	28858.2	29467
0.387706	69	-13939.7	254	28387.4	28863.7	29471.3
0.390976	70	-13939.7	255	28389.3	28871.1	29477.5
0.418246	72	-13930.9	257	28375.8	28868.8	29472.5
0.41982	73	-13930.9	258	28377.8	28876.5	29478.7
0.432153	74	-13930.4	259	28378.8	28883.2	29484
0.437806	75	-13930	260	28380	28890.2	29489.4
0.464018	76	-13930	261	28382	28898.1	29495.7
0.477829	77	-13927.4	262	28378.7	28900.7	29496.7
0.485584	78	-13926.7	263	28379.3	28907.3	29501.6
0.49907	79	-13926.4	264	28380.9	28914.9	29507.4
0.49907	80	-13926	265	28381.9	28922.1	29512.7
0.518359	81	-13925	266	28382	28928.4	29517.1
0.533712	82	-13924.8	267	28383.7	28936.2	29523
0.560706	83	-13924.8	268	28385.7	28944.5	29529.3
0.570234	84	-13924.3	269	28386.5	28951.7	29534.4
0.577272	85	-13901.4	270	28342.7	28914.4	29494.9
0.580674	86	-13901.3	271	28344.6	28922.8	29501.1
0.58175	87	-13901.2	272	28346.5	28931.2	29507.2
0.589628	88	-13901.2	273	28348.5	28939.8	29513.4
0.602678	89	-13899.7	274	28347.4	28945.4	29516.6
0.653182	90	-13897.5	275	28345	28949.8	29518.5
0.659932	91	-13894	276	28339.9	28951.5	29517.7
0.695986	92	-13891.9	277	28337.8	28956.4	29519.9
0.696286	93	-13890.9	278	28337.8	28963.3	29524.1
0.71367	95	-13889.2	280	28338.4	28978.1	29533.2
0.723238	96	-13888.5	281	28339	28985.9	29538.1
0.72824	97	-13886.4	282	28336.7	28990.9	29540.1
0.733372	98	-13882.4	283	28330.9	28992.4	29538.5
0.754968	99	-13882.1	284	28332.2	29001.1	29544.1
0.767502	100	-13882	285	28334	29010.5	29550.2
0.772788	101	-13881.7	286	28335.4	29019.4	29555.8
0.775616	102	-13881.5	287	28337	29028.6	29561.6
0.794094	103	-13881.2	288	28338.4	29037.9	29567.4
0.800189	104	-13880.9	289	28339.8	29047.1	29573
0.818502	105	-13880.6	290	28341.2	29056.4	29578.7
0.831743	106	-13880.5	291	28343.1	29066.3	29584.8
0.889971	107	-13874.8	292	28333.5	29064.8	29579.5
0.903102	108	-13873.5	293	28332.9	29072.3	29583.2
0.913871	109	-13870.7	294	28329.4	29077.1	29584
0.929894	110	-13868.5	295	28327	29083	29585.8
0.949476	111	-13868.4	296	28328.8	29093.2	29591.9
0.965552	112	-13868.3	297	28330.7	29103.7	29598
0.968158	113	-13867.8	298	28331.5	29113.1	29603.2
0.970084	114	-13867.6	299	28333.3	29123.6	29609.1
0.982852	115	-13867.6	300	28335.2	29134.3	29615.3
1	182	-13821.8	367	28377.7	30076.5	29943.7
